Stage	Objection	Solution 1	Solution 2	Solution 3	Solution 4	Solution 5	Solution 6	Solution 7	Solution 8
Stage 3 TIK PRED BOOKINGOM	APA gre na drug račun (ne na račun agencije)	Gostje plačajo najem jahte neposredno na naš račun (Goolets), saj z njimi sklepamo pogodbo.	APA (Advance Provisioning Allowance) pa se nakazuje neposredno ladjarju, ker je to znesek, ki se porabi za operativne stroške (gorivo, hrana, marine ipd.) in mora biti na voljo neposredno kapetanu.	Transkacija je popolnoma varna – vse transakcije so dokumentirane in zavarovane s pogodbo.	Gost prejme natančne informacije o prejemniku, pogojih in nadzoru nad porabo sredstev. Na koncu plovbe se dobi tudi poročilo o dejanski porabi.				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Je to legit? Kam gre denar?	Goolets deluje že od leta 2005 in smo ena izmed vodilnih charter agencij za luksuzne jahte v Evropi in po svetu.	Smo registrirano podjetje v Sloveniji (EU), podvrženi finančnemu nadzoru, DDV zakonodaji in strogi regulativi.	Naš portfelj vključuje veliko število preverjenih ladij in vsako leto imamo več sto strank iz celega sveta.	Denar gre izključno za najem ladje, vnaprej znane stroške in dogovorjene storitve – vse podprto s pogodbo.	Po želji posredujemo reference, pravne dokumente, medijske objave in poslovne certifikate kot dokaz o naši zanesljivosti.	Lahko uredimo tudi kontakt stranke ki je v preteklosti že potovala z nami		
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Jezikovna ovira / raje imam "svojega" brokerja	Popolnoma razumemo – pomembno je, da se gost počuti udobno v komunikaciji.	V naši ekipi imamo govorce več jezikov,	Če želite, vas lahko povežemo z osebo iz naše ekipe, ki govori vaš jezik in vas vodi skozi celoten proces.	Če pa že imate zaupanja vrednega posrednika, smo pripravljeni sodelovati z njim in skupaj zagotoviti najboljšo izkušnjo.	Vedno zagotovimo, da bo ptenos informacij predan na razumljiv način			
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	A je to res to? kraj, ladja, destinacija, vi?	Osebna predstavitev, telefonski klic, zoom, face time	Pošljemo objave v medijih – CNN	Odzive strank	Meeting v pisarni, da lahko vidijo naš team in pisarne	Predstavitev lastnika, kratek telefonski klic	Facetime z lastnikom na ladji		
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Ali je res final decisier	Iz konteksta probamo razbrati ali je oseba leader grupe	Če ni prosimo za kontakt, predlagamo skupen sestanek	Podajamo informacije, maile, ki jih lahko deli z leaderjem					
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Cancelation policy	Popolnoma ste zaščiteni v primeru, da lastnik odpove rezervacijo (kar se sicer skoraj nikoli ne zgodi) v tem primeru poiščemo nadomestno plovilo ali pa vam vrnemo vplačano aro skupaj z dodatnimi penalizacijami. V primeru odpovedi s strani lastnika ste torej v celoti zaščiteni.	Če pa rezervacijo odpoveste vi, se depozit izgubi. Kljub temu običajno termin znova ponudimo na trgu in če uspemo termin prodati naprej, lahko v določenih primerih ponudimo prestavitev rezervacije, tako da ne izgubite depozita.	Politika odpovedi je opredeljena tudi v MYBA pogodbi, prosim, preverite člene 9 in 11. Gre za standardno industrijsko prakso, in pogodba vas v vseh točkah v celoti ščiti.	Naj dodam, da nismo povezani z nobeno zavarovalnico, vendar vam vseeno priporočam, da sklenete dodatno potovalno zavarovanje, da boste v celoti kriti, če bi se vam v tem času kaj zgodilo. Na primer, priporočamo IMG GLOBAL: https://www.imglobal.com/ ali HdB: http://www.hdbonline.it/en/.				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Razpad dela grupe, objections	Povemo da cena ostane ista, tudi če je manj ljudi	Imajo več prostora, boljši service	Predlagamo vključitev drugih prijateljev/družine	Organiziramo skupni zoom z ostalimi in razložimo možnosti				
Stage 3 TIK PRED BOOKINGOM									
Stage 3 TIK PRED BOOKINGOM	Struggling with dates, dopust, lease/le	Povemo da so naše jahte zelo hitro bukirane, naj ne čakajo predolgo	Tudi če si premislijo, vedno skušamo prodati njihov teden in iščemo nov termin za njih	Predlagamo sestanek s celotno skupino	Za eno leto naprej, ponujamo boljše plačilne pogoje				
